year,statefips,countyfips,ds_pm_pred
2012,26,26067,9.659789785624212
2014,27,27121,6.076461150684932
2014,34,34009,8.472226181506849
2014,9,9005,7.891851446682783
2011,48,48289,9.028809248401826
2011,28,28133,10.090798101369863
2012,40,40021,9.467922161505768
2011,51,51125,8.489481793607306
2011,13,13003,10.394286257534247
2013,17,17169,9.740218173515982
2013,29,29187,9.382461180572852
2013,37,37093,8.618718782343988
2013,5,5059,9.876800473581213
2013,32,32027,5.178259178082192
2013,48,48397,9.888689190535492
2012,13,13309,9.319785655737705
2011,42,42001,10.463354669207862
2012,37,37055,6.960330935033394
2014,51,51063,8.57274703196347
2012,1,1079,10.205752337583485
2014,29,29067,9.176651415525114
2011,17,17187,10.63001747890411
2014,30,30037,4.821258246575342
2013,22,22045,8.907592420091324
2013,17,17033,10.51092196347032
2013,49,49007,6.006473950684932
2014,36,36029,9.896587413512886
2012,48,48079,6.91039043715847
2011,37,37091,8.756070959452055
2014,31,31181,7.433742602739726
2011,26,26037,9.587502114445828
2013,29,29165,9.983342520547945
2013,17,17097,10.168386600411854
2012,42,42111,9.418898069216758
2012,27,27021,8.139929240437158
2013,39,39075,10.636043595890411
2013,36,36095,6.888646917808219
2013,31,31033,5.618138264840183
2013,31,31133,8.425264383561644
2011,47,47031,10.124429969178082
2013,40,40013,9.285393449564134
2011,51,51103,8.170648967123288
2014,53,53001,8.644955561643836
2012,8,8001,8.452162168328545
2014,40,40023,9.327583835616438
2011,23,23023,7.920245132876712
2014,13,13079,11.142186913242009
2013,48,48307,7.170331141552511
2011,48,48471,9.368584999726027
2011,35,35006,5.400127180039139
2014,48,48469,9.508737105419893
2011,47,47003,10.229639077929985
2011,5,5059,10.757434569863014
2011,48,48219,7.651523873189824
2012,45,45023,9.467716020864382
2011,31,31107,7.722149782648402
2013,29,29083,9.012581643835616
2014,38,38059,4.96234944109589
2011,54,54099,10.515255652801992
2012,26,26065,9.844187930918168
2012,17,17001,9.904902276867031
2014,8,8081,4.005548650684932
2013,19,19097,9.803284292237443
2014,51,51003,8.467288841843088
2011,34,34041,9.583422591304348
2011,55,55063,9.522573493369863
2011,13,13019,10.742112280365297
2012,26,26025,10.019193036289758
2014,22,22115,8.93964799086758
2014,46,46023,6.437417899543379
2013,28,28081,9.495442307137707
2012,48,48219,7.412097736143638
2014,19,19021,8.419071643835616
2012,28,28119,9.863628506375228
2013,55,55027,9.061328219178082
2012,39,39149,11.344122923497268
2012,54,54069,10.647486285670917
2014,19,19033,8.280859701120797
2013,37,37105,8.482660674394099
2014,20,20065,6.756694246575342
2012,29,29045,9.72420218579235
2011,17,17079,10.633198371689498
2013,39,39137,10.586676242661448
2012,48,48409,8.096768579234973
2014,20,20149,8.816118746575342
2012,26,26057,9.28327718579235
2011,55,55103,9.314980517260274
2014,48,48295,6.894457397260274
2014,5,5005,9.356572541856925
2012,49,49023,5.664128838797814
2011,20,20031,9.445246126940639
2013,37,37103,7.756273789954338
2013,55,55015,8.551794645080946
2011,55,55007,6.75384419890411
2011,47,47133,9.577893931506849
2011,17,17143,11.139250367579909
2013,48,48481,9.075823860523039
2014,37,37055,7.682941278538813
2014,13,13299,9.524569284627093
2014,21,21043,9.520185988258317
2012,48,48247,7.114013661202186
2011,31,31095,8.743152817351598
2011,19,19175,8.898961473287671
2012,49,49033,6.320506557377049
2012,1,1047,9.663546830601093
2013,45,45031,8.84845125
2011,30,30093,5.71254931369863
2011,35,35055,5.185587334703196
2013,42,42019,10.200848412204234
2011,5,5147,10.282105420547945
2011,16,16069,6.800564818082192
2011,36,36089,8.080986423189824
2014,38,38013,5.189452684931507
2012,27,27119,8.231583879781421
2013,29,29201,10.072365616438356
2014,23,23023,7.330743585616438
2013,40,40133,9.014293394216134
2013,17,17071,9.936534794520548
2011,39,39047,10.829949962818004
2011,55,55115,8.834923310834371
2014,26,26091,10.702102156045265
2012,37,37129,7.841033618976652
2012,26,26125,10.035647979354609
2014,5,5045,10.167752438356164
2012,38,38083,7.084963661202186
2014,48,48313,9.517543082191781
2013,22,22025,8.411582831050228
2013,48,48213,9.39495187751813
2011,37,37093,9.865636725114155
2014,29,29213,9.352894794520548
2014,17,17079,11.464068767123288
2014,34,34007,10.848143915435228
2011,21,21103,10.607010698082192
2011,28,28125,9.668766521917808
2012,47,47069,9.01768456284153
2014,47,47085,9.71567698630137
2011,13,13145,11.158296620273973
2012,26,26123,8.979316169895678
2014,48,48161,9.650590332681018
2012,48,48183,9.688912819672131
2011,48,48497,9.521466351930262
2013,26,26125,9.406529695225744
2012,35,35035,6.701696584699454
2014,35,35007,4.352298356164384
2014,37,37103,9.070783652968036
2014,50,50021,7.573959652054794
2014,48,48481,9.582446276463263
2013,47,47009,9.109860756360078
2012,40,40129,7.164753551912568
2014,1,1121,11.045779302615193
2012,38,38063,7.728385245901639
2012,38,38055,7.262555054644809
2012,51,51790,8.564918005464481
2011,41,41049,6.52584422739726
2011,13,13247,11.746680252785388
2012,5,5085,10.619617896174863
2012,48,48115,7.231552800546448
2013,39,39055,9.979071572080887
2012,29,29197,9.147835382513661
2012,29,29095,10.228911598978499
2012,16,16027,9.265668935368381
2011,16,16015,5.471475630136986
2014,27,27043,7.728899863013699
2012,31,31123,6.609809289617486
2012,54,54103,9.977083120218579
2012,38,38009,7.39442349726776
2011,29,29510,12.711297367330059
2012,13,13141,9.909346721311475
2012,20,20203,7.194287349726776
2011,39,39111,11.215817894520548
2014,46,46041,4.999453835616438
2014,20,20069,7.260236849315068
2011,21,21125,9.961476986722866
2014,51,51099,8.542599780821918
2011,36,36037,8.667875233972603
2013,47,47099,9.222748692403487
2013,37,37039,7.995661870841487
2011,29,29195,9.668685327054794
2014,16,16035,8.240024520547945
2012,37,37103,8.247005009107468
2014,48,48197,7.623922739726027
2014,47,47023,9.531689680365297
2011,38,38083,6.656560547945206
2014,1,1129,9.642341260273973
2014,17,17139,11.30051095890411
2013,40,40089,9.513284143835616
2011,8,8055,5.111008793150685
2011,33,33007,6.772844278953923
2014,29,29007,9.63908547553816
2014,31,31125,7.768590410958904
